id;name;stock;description;price
1;Steel;31485;calculating cross-platform Principal;35091
2;wireless Handmade;76808;deposit Track actuating;64964
3;Division;13165;Card;44325
4;models partnerships Infrastructure;91058;compressing withdrawal green;70316
5;Gloves Drive;69325;Car;16911
6;Oklahoma;37638;throughput;46269
7;mobile Vermont auxiliary;90726;Mexico yellow Cape;27546
8;homogeneous Crossroad;86573;Liaison;16073
9;Tunnel;5902;black;71810
10;Cheese Renminbi;33734;multi-byte Underpass project;82676
